SetID,Time of Application,State,Monthly Net Income,Paycheck Net Income,Rent or Own,Months at Residence,Bank Account Months,Pay Cycle,Loan Amount,Loan Funded Date,Loan Due Date,First Payment Default,First Payment Default1,Time_Diff
698,2018-03-20T19:08:30Z,CA,5.00E+03,2500,R,36,36,BiMonthly,235.3,3/20/2018,4/4/2018,FALSE,0,15
107,2018-04-07T09:20:05Z,TX,1.50E+04,7500,R,36,6,BiMonthly,642.32,4/11/2018,4/24/2018,TRUE,1,13
970,2018-03-11T11:37:33Z,CA,7.00E+03,3500,R,60,6,BiWeekly,117.65,3/11/2018,3/22/2018,FALSE,0,11
1789,2018-02-09T10:45:00Z,CA,2200,1100,R,38,30,BiMonthly,117.65,2/9/2018,2/28/2018,TRUE,1,19
1361,2018-02-25T11:31:23Z,TX,3.00E+03,3.00E+03,R,12,12,Monthly,644.24,2/25/2018,3/28/2018,FALSE,0,31
572,2018-03-25T11:35:32Z,CA,2500,1250,R,24,6,BiWeekly,235.3,3/25/2018,4/6/2018,FALSE,0,12
664,2018-03-22T12:30:10Z,CA,2820,1410,O,87,30,BiWeekly,300,3/22/2018,3/30/2018,FALSE,0,8
525,2018-03-26T14:59:20Z,CA,4400,2200,R,245,9,BiWeekly,176.47,3/26/2018,4/13/2018,FALSE,0,18
168,2018-04-05T14:35:22Z,CA,3.00E+03,1500,R,96,30,BiMonthly,235.3,4/5/2018,4/20/2018,FALSE,0,15
1910,2018-02-04T20:35:00Z,CA,4012,1003,R,62,30,Weekly,300,2/5/2018,2/16/2018,FALSE,0,11
1508,2018-02-19T17:03:19Z,CA,2663,2663,O,243,36,Monthly,300,2/19/2018,3/1/2018,FALSE,0,10
200,2018-04-04T22:09:49Z,CA,3680,1840,R,16,12,BiWeekly,300,4/5/2018,4/13/2018,FALSE,0,8
1132,2018-03-05T10:19:34Z,TX,1500,1500,O,108,6,Monthly,643.97,3/5/2018,4/3/2018,FALSE,0,29
460,2018-03-28T11:28:29Z,TX,6500,6500,R,60,30,Monthly,644.24,4/4/2018,4/28/2018,FALSE,0,24
188,2018-04-05T10:51:33Z,CA,2.00E+03,2.00E+03,R,108,12,Monthly,235.3,4/5/2018,5/6/2018,TRUE,1,31
281,2018-04-03T01:56:04Z,CA,4.00E+03,2.00E+03,R,12,6,BiWeekly,117.65,4/4/2018,4/13/2018,FALSE,0,9
1399,2018-02-22T20:36:15Z,CA,2498,1249,R,38,30,BiWeekly,300,2/23/2018,3/16/2018,FALSE,0,21
101,2018-04-07T13:26:39Z,CA,2.00E+03,1.00E+03,R,12,12,BiWeekly,235.3,4/7/2018,4/20/2018,TRUE,1,13
1525,2018-02-17T23:48:02Z,CA,2272,1136,R,50,3,BiWeekly,300,2/19/2018,3/2/2018,FALSE,0,11
1218,2018-03-01T12:38:41Z,CA,1.30E+04,6500,R,24,18,BiWeekly,117.65,3/1/2018,3/9/2018,FALSE,0,8
871,2018-03-14T17:54:22Z,CA,2500,2500,R,36,36,Monthly,117.65,3/15/2018,4/6/2018,FALSE,0,22
1261,2018-02-28T09:09:30Z,TX,7.00E+03,3500,R,14,14,BiWeekly,641.23,2/28/2018,3/9/2018,TRUE,1,9
1363,2018-02-25T11:18:25Z,TX,5.00E+03,2500,R,60,6,BiWeekly,641.64,2/25/2018,3/9/2018,TRUE,1,12
739,2018-03-19T18:10:44Z,CA,2100,2100,O,27,36,Monthly,300,3/19/2018,3/30/2018,FALSE,0,11
1683,2018-02-13T11:47:00Z,TX,3.00E+03,3.00E+03,R,36,30,Monthly,642.05,2/13/2018,2/28/2018,FALSE,0,15
1207,2018-03-01T15:47:11Z,CA,5200,5200,R,119,6,Monthly,235.3,3/1/2018,3/30/2018,FALSE,0,29
1624,2018-02-14T14:20:00Z,TX,1.20E+04,6.00E+03,R,60,60,BiMonthly,641.23,2/14/2018,2/23/2018,TRUE,1,9
1963,2018-02-01T12:06:00Z,CA,2876,719,R,243,36,Weekly,300,2/1/2018,2/9/2018,FALSE,0,8
1601,2018-02-14T18:47:00Z,TX,11400,5700,R,60,36,BiWeekly,641.23,2/14/2018,2/23/2018,FALSE,0,9
1455,2018-02-21T11:03:56Z,TX,6500,6500,R,12,30,Monthly,641.23,2/21/2018,3/2/2018,TRUE,1,9
756,2018-03-19T14:18:00Z,CA,2600,1300,R,36,9,Weekly,300,3/19/2018,3/30/2018,FALSE,0,11
724,2018-03-20T10:02:11Z,CA,1900,1900,R,35,36,Monthly,300,3/20/2018,4/18/2018,FALSE,0,29
1134,2018-03-05T08:27:59Z,CA,7.00E+03,3500,O,108,6,BiWeekly,117.65,3/5/2018,3/23/2018,FALSE,0,18
47,2018-04-09T11:30:31Z,CA,6.00E+03,6.00E+03,R,60,60,Monthly,235.3,4/9/2018,4/30/2018,FALSE,0,21
1898,2018-02-05T10:51:00Z,CA,3470,1735,O,51,36,BiMonthly,300,2/5/2018,2/14/2018,FALSE,0,9
1243,2018-02-28T14:55:48Z,CA,4200,2100,R,38,36,BiWeekly,235.3,2/28/2018,3/9/2018,FALSE,0,9
88,2018-04-07T19:31:58Z,CA,5.00E+03,2500,R,48,12,BiMonthly,235.3,4/7/2018,4/27/2018,FALSE,0,20
891,2018-03-14T11:29:33Z,TX,2.00E+03,2.00E+03,R,24,24,Monthly,644.24,3/16/2018,4/14/2018,TRUE,1,29
7,2018-04-09T20:07:10Z,CA,1500,1500,R,12,6,Monthly,117.65,4/10/2018,5/1/2018,FALSE,0,21
1074,2018-03-06T18:31:42Z,TX,1.10E+04,5500,R,24,24,BiWeekly,642.32,3/6/2018,3/23/2018,TRUE,1,17
1869,2018-02-05T15:31:00Z,CA,3.00E+03,3.00E+03,R,54,16,Monthly,294.12,2/5/2018,2/21/2018,FALSE,0,16
1730,2018-02-12T14:51:00Z,CA,3.00E+03,3.00E+03,R,12,12,Monthly,117.65,2/12/2018,3/5/2018,FALSE,0,21
1891,2018-02-05T12:30:00Z,TX,1500,1500,R,96,6,Monthly,384.82,2/5/2018,2/15/2018,FALSE,0,10
833,2018-03-15T20:54:33Z,CA,6.00E+03,3.00E+03,R,12,6,BiWeekly,117.65,3/21/2018,3/30/2018,FALSE,0,9
542,2018-03-26T12:17:55Z,CA,6500,6500,R,12,12,Monthly,235.3,3/26/2018,4/26/2018,FALSE,0,31
1195,2018-03-01T19:26:11Z,CA,2342,1171,R,50,36,BiWeekly,300,3/1/2018,3/9/2018,FALSE,0,8
1233,2018-02-28T22:19:12Z,CA,4600,2300,R,179,12,BiWeekly,300,3/1/2018,3/15/2018,FALSE,0,14
395,2018-03-29T18:21:03Z,TX,6500,6500,R,12,30,Monthly,643.83,3/30/2018,4/26/2018,FALSE,0,27
895,2018-03-14T10:30:37Z,TX,1.30E+04,6500,R,12,30,BiWeekly,384.73,3/14/2018,3/23/2018,FALSE,0,9
5,2018-04-09T20:30:31Z,CA,9980,2495,R,25,36,Weekly,300,4/10/2018,4/20/2018,TRUE,1,10
1139,2018-03-04T19:59:45Z,CA,2400,1200,R,34,36,BiWeekly,294.13,3/5/2018,3/23/2018,TRUE,1,18
1242,2018-02-28T15:08:08Z,TX,264,264,R,36,36,Monthly,117.65,2/28/2018,3/30/2018,FALSE,0,30
426,2018-03-29T10:16:39Z,TX,5.00E+03,2500,R,36,6,BiWeekly,641.09,3/29/2018,4/6/2018,FALSE,0,8
1039,2018-03-08T13:01:26Z,TX,952,476,O,194,36,BiMonthly,321.01,3/8/2018,3/23/2018,FALSE,0,15
555,2018-03-26T09:16:32Z,CA,3184,1592,R,3,36,BiWeekly,300,3/26/2018,4/5/2018,FALSE,0,10
1623,2018-02-14T14:22:00Z,CA,5.00E+03,5.00E+03,O,12,6,Monthly,117.65,2/16/2018,3/1/2018,TRUE,1,13
369,2018-03-30T22:09:21Z,CA,2300,1150,R,62,36,BiWeekly,147.06,4/2/2018,4/19/2018,FALSE,0,17
1831,2018-02-07T12:57:00Z,CA,2470,1235,R,47,30,BiMonthly,300,2/8/2018,2/16/2018,FALSE,0,8
1518,2018-02-19T12:15:19Z,CA,2200,1100,R,114,30,BiWeekly,300,2/19/2018,3/2/2018,TRUE,1,11
352,2018-04-01T11:56:45Z,CA,3.00E+03,3.00E+03,R,12,6,Monthly,300,4/4/2018,4/30/2018,FALSE,0,26
96,2018-04-07T14:49:56Z,CA,3500,1750,R,36,12,BiWeekly,235.3,4/7/2018,4/27/2018,FALSE,0,20
906,2018-03-13T18:51:57Z,TX,1.20E+04,6.00E+03,R,60,36,BiWeekly,641.36,3/13/2018,3/23/2018,TRUE,1,10
324,2018-04-02T11:17:24Z,TX,6500,6500,R,60,30,Monthly,515.28,4/2/2018,5/2/2018,FALSE,0,30
1330,2018-02-26T15:00:27Z,CA,2196,1098,R,4,36,BiWeekly,300,2/26/2018,3/9/2018,FALSE,0,11
1625,2018-02-14T14:13:00Z,CA,7.00E+03,3500,R,12,6,BiWeekly,117.65,2/16/2018,3/7/2018,TRUE,1,19
1559,2018-02-15T16:32:16Z,TX,1.20E+04,6.00E+03,R,60,60,BiMonthly,641.09,2/15/2018,2/23/2018,TRUE,1,8
454,2018-03-28T12:19:28Z,TX,5.00E+03,2500,R,12,30,BiWeekly,642.19,3/28/2018,4/13/2018,FALSE,0,16
1101,2018-03-05T18:03:45Z,CA,3.00E+03,3.00E+03,O,0,6,Monthly,117.65,3/9/2018,3/30/2018,FALSE,0,21
1759,2018-02-12T09:41:00Z,CA,3400,850,R,9,36,Weekly,300,2/12/2018,2/23/2018,FALSE,0,11
1157,2018-03-03T15:35:49Z,TX,1500,1500,O,48,6,Monthly,641.64,3/3/2018,3/15/2018,FALSE,0,12
196,2018-04-05T08:24:48Z,TX,3500,3500,R,24,24,Monthly,514.84,4/5/2018,5/1/2018,TRUE,1,26
1322,2018-02-26T16:12:45Z,CA,1.00E+04,5.00E+03,R,24,9,BiWeekly,235.3,2/26/2018,3/16/2018,FALSE,0,18
414,2018-03-29T12:47:21Z,CA,1612,806,R,277,36,BiWeekly,300,3/29/2018,4/19/2018,FALSE,0,21
1365,2018-02-24T18:02:34Z,CA,3.00E+03,3.00E+03,R,36,36,Monthly,117.65,2/28/2018,3/27/2018,FALSE,0,27
1533,2018-02-17T04:08:07Z,CA,2500,1250,O,278,30,BiWeekly,300,2/17/2018,3/9/2018,FALSE,0,20
1529,2018-02-17T13:51:18Z,CA,1688,844,R,269,6,BiMonthly,300,2/17/2018,3/8/2018,FALSE,0,19
872,2018-03-14T17:52:57Z,CA,1.20E+04,6.00E+03,R,104,15,BiWeekly,300,3/14/2018,3/23/2018,FALSE,0,9
40,2018-04-09T12:27:10Z,CA,3600,1800,R,13,36,BiMonthly,300,4/9/2018,4/20/2018,FALSE,0,11
1380,2018-02-23T16:26:45Z,CA,7.00E+03,3500,R,24,12,BiWeekly,235.3,3/1/2018,3/16/2018,TRUE,1,15
1790,2018-02-09T09:44:00Z,CA,1592,398,R,160,36,Weekly,176.47,2/9/2018,2/23/2018,FALSE,0,14
1436,2018-02-21T18:42:44Z,CA,1302,651,R,30,36,BiWeekly,300,2/21/2018,3/8/2018,FALSE,0,15
1908,2018-02-04T22:15:00Z,CA,3324,1662,R,108,36,BiWeekly,300,2/5/2018,2/14/2018,FALSE,0,9
783,2018-03-18T17:09:23Z,CA,3.00E+03,1500,R,36,6,BiWeekly,117.65,3/18/2018,4/6/2018,FALSE,0,19
1131,2018-03-05T10:39:37Z,TX,3.00E+03,3.00E+03,R,12,12,Monthly,257.15,3/5/2018,3/26/2018,FALSE,0,21
945,2018-03-12T16:29:45Z,CA,1500,1500,R,12,6,Monthly,117.65,3/14/2018,4/3/2018,TRUE,1,20
1833,2018-02-06T17:24:00Z,CA,1800,900,R,74,36,Monthly,264.71,2/8/2018,3/1/2018,FALSE,0,21
652,2018-03-22T14:39:35Z,TX,2.00E+03,2.00E+03,R,12,12,Monthly,384.65,3/22/2018,3/30/2018,FALSE,0,8
1969,2018-02-01T02:59:00Z,CA,2200,1100,R,38,36,BiMonthly,300,2/1/2018,2/20/2018,FALSE,0,19
210,2018-04-04T16:34:38Z,CA,5.00E+03,5.00E+03,R,60,36,Monthly,117.65,4/4/2018,4/26/2018,FALSE,0,22
627,2018-03-23T10:22:06Z,CA,5.00E+03,2500,R,48,36,BiWeekly,235.3,3/23/2018,4/11/2018,TRUE,1,19
1072,2018-03-06T19:12:39Z,CA,1.30E+04,6500,R,36,30,BiWeekly,235.3,3/7/2018,3/23/2018,TRUE,1,16
678,2018-03-21T16:00:03Z,CA,743,743,R,53,36,Monthly,235.3,3/21/2018,3/30/2018,FALSE,0,9
536,2018-03-26T13:04:42Z,TX,5.00E+03,2500,R,12,6,BiWeekly,385.23,3/29/2018,4/13/2018,FALSE,0,15
818,2018-03-16T15:21:13Z,TX,2.50E+04,12500,R,36,6,BiWeekly,642.6,3/16/2018,4/4/2018,FALSE,0,19
273,2018-04-03T10:21:42Z,TX,5584,2792,R,54,6,BiWeekly,642.32,4/3/2018,4/20/2018,FALSE,0,17
1476,2018-02-20T15:49:50Z,CA,2782,1391,R,66,36,BiWeekly,300,2/20/2018,3/1/2018,FALSE,0,9
1355,2018-02-25T18:34:22Z,CA,6.00E+03,3.00E+03,R,60,12,BiWeekly,117.65,2/25/2018,3/9/2018,TRUE,1,12
852,2018-03-15T11:23:29Z,TX,9750,4875,R,24,12,BiWeekly,256.38,3/15/2018,3/22/2018,FALSE,0,7
117,2018-04-06T18:42:26Z,CA,5.00E+03,2500,R,12,12,BiWeekly,235.3,4/6/2018,4/20/2018,FALSE,0,14
1265,2018-02-27T19:05:02Z,CA,2500,2500,R,75,36,Monthly,300,2/27/2018,3/27/2018,TRUE,1,28
13,2018-04-09T17:46:39Z,CA,3.00E+03,3.00E+03,O,12,6,Monthly,117.65,4/11/2018,5/3/2018,FALSE,0,22
1021,2018-03-08T17:49:00Z,CA,2500,2500,R,12,6,Monthly,117.65,3/8/2018,4/2/2018,TRUE,1,25
1514,2018-02-19T14:52:15Z,CA,3500,3500,O,36,6,Monthly,117.65,2/19/2018,3/9/2018,FALSE,0,18
1373,2018-02-24T10:36:49Z,TX,2271,2271,R,36,6,Monthly,642.6,2/24/2018,3/15/2018,FALSE,0,19
568,2018-03-25T13:02:56Z,CA,3.00E+03,1500,R,96,6,Weekly,235.3,3/25/2018,4/9/2018,FALSE,0,15
1446,2018-02-21T16:44:29Z,TX,1500,1500,R,24,6,Monthly,384.98,2/21/2018,3/5/2018,FALSE,0,12
318,2018-04-02T12:11:57Z,CA,4.00E+03,4.00E+03,R,48,6,Monthly,117.65,4/2/2018,5/2/2018,FALSE,0,30
1684,2018-02-13T11:27:00Z,TX,4250,2125,R,40,92,BiWeekly,513.64,2/13/2018,2/28/2018,FALSE,0,15
1582,2018-02-15T12:02:22Z,CA,1500,1500,R,12,6,Monthly,117.65,2/15/2018,3/1/2018,FALSE,0,14
1001,2018-03-09T15:35:48Z,TX,7.00E+03,3500,R,36,36,BiWeekly,640.95,3/9/2018,3/16/2018,FALSE,0,7
162,2018-04-05T16:07:29Z,CA,2500,2500,R,36,36,Monthly,117.65,4/5/2018,5/1/2018,FALSE,0,26
881,2018-03-14T15:02:39Z,CA,2.00E+03,2.00E+03,R,60,60,Monthly,235.3,3/14/2018,4/3/2018,TRUE,1,20
341,2018-04-01T21:48:06Z,CA,4.00E+03,4.00E+03,R,12,6,Monthly,117.65,4/4/2018,4/13/2018,FALSE,0,9
1921,2018-02-03T10:32:00Z,CA,1891,1891,R,51,36,Monthly,300,2/3/2018,3/1/2018,FALSE,0,26
809,2018-03-16T21:51:28Z,CA,2062,1031,R,39,30,BiMonthly,300,3/19/2018,3/30/2018,FALSE,0,11
301,2018-04-02T15:16:39Z,CA,1120,560,R,17,15,BiWeekly,300,4/2/2018,4/13/2018,FALSE,0,11
208,2018-04-04T17:01:40Z,CA,5.00E+03,2500,R,12,12,BiWeekly,235.3,4/4/2018,4/13/2018,FALSE,0,9
1600,2018-02-14T19:05:00Z,CA,6.00E+03,3.00E+03,R,12,12,BiMonthly,300,2/14/2018,3/5/2018,FALSE,0,19
1280,2018-02-27T14:10:31Z,CA,2200,2200,R,6,36,Monthly,300,2/27/2018,3/20/2018,FALSE,0,21
203,2018-04-04T18:03:13Z,CA,1600,400,R,147,36,Weekly,300,4/4/2018,4/13/2018,FALSE,0,9
1031,2018-03-08T14:41:19Z,CA,4500,4500,R,60,36,Monthly,294.12,3/8/2018,4/2/2018,FALSE,0,25
1480,2018-02-20T14:23:01Z,TX,4500,4500,R,76,76,Monthly,641.23,2/21/2018,3/1/2018,FALSE,0,8
1888,2018-02-05T13:27:00Z,CA,2500,2500,R,83,36,Monthly,300,2/5/2018,3/5/2018,FALSE,0,28
1184,2018-03-02T14:13:26Z,TX,10500,5250,R,108,48,BiWeekly,256.38,3/2/2018,3/9/2018,FALSE,0,7
1558,2018-02-15T16:40:13Z,CA,1210,605,R,12,36,BiWeekly,300,2/15/2018,3/8/2018,FALSE,0,21
1515,2018-02-19T14:32:23Z,CA,2280,1140,R,37,12,BiWeekly,300,2/19/2018,3/9/2018,FALSE,0,18
1886,2018-02-05T13:35:00Z,CA,7.00E+03,3500,R,108,6,BiWeekly,117.65,2/7/2018,2/23/2018,FALSE,0,16
1472,2018-02-20T16:25:31Z,TX,5.00E+03,5.00E+03,R,120,30,Monthly,644.24,2/20/2018,3/23/2018,TRUE,1,31
1065,2018-03-07T11:03:44Z,CA,4500,4500,O,12,6,Monthly,117.65,3/7/2018,4/3/2018,FALSE,0,27
1075,2018-03-06T18:02:17Z,CA,1500,1500,R,12,6,Monthly,117.65,3/6/2018,4/5/2018,TRUE,1,30
465,2018-03-28T08:40:18Z,TX,4500,4500,O,108,6,Monthly,644.24,3/30/2018,4/28/2018,FALSE,0,29
280,2018-04-03T03:47:12Z,CA,3.00E+03,3.00E+03,O,131,36,Monthly,294.12,4/3/2018,4/30/2018,FALSE,0,27
1256,2018-02-28T10:42:42Z,CA,2500,2500,R,89,35,Monthly,294.12,2/28/2018,3/30/2018,TRUE,1,30
1646,2018-02-13T17:36:00Z,CA,2400,1200,R,66,30,BiWeekly,300,2/13/2018,2/23/2018,TRUE,1,10
1961,2018-02-01T12:48:00Z,CA,868,434,R,23,36,BiWeekly,264.71,2/1/2018,2/16/2018,FALSE,0,15
457,2018-03-28T11:50:13Z,CA,6500,3250,R,12,6,BiWeekly,235.3,3/28/2018,4/13/2018,FALSE,0,16
1569,2018-02-15T14:49:38Z,CA,7.00E+03,3500,O,36,6,BiWeekly,117.65,2/15/2018,2/23/2018,FALSE,0,8
415,2018-03-29T12:47:03Z,CA,1562,781,R,252,36,BiWeekly,300,3/29/2018,4/17/2018,FALSE,0,19
1007,2018-03-09T12:44:46Z,CA,1.00E+03,1.00E+03,R,60,6,Monthly,117.65,3/9/2018,4/2/2018,TRUE,1,24
22,2018-04-09T16:08:02Z,CA,3.00E+03,1500,R,12,12,BiWeekly,235.3,4/9/2018,4/20/2018,TRUE,1,11
1293,2018-02-27T12:04:38Z,CA,3.00E+03,1500,O,240,36,BiWeekly,300,2/27/2018,3/9/2018,FALSE,0,10
526,2018-03-26T14:58:48Z,TX,6500,6500,R,12,30,Monthly,514.41,3/26/2018,4/17/2018,FALSE,0,22
1564,2018-02-15T15:33:30Z,CA,5.00E+03,5.00E+03,R,84,6,Monthly,117.65,2/15/2018,2/28/2018,FALSE,0,13
1950,2018-02-01T16:51:00Z,CA,6.00E+03,3.00E+03,R,12,9,BiWeekly,235.3,2/1/2018,2/16/2018,FALSE,0,15
1883,2018-02-05T13:49:00Z,CA,2451,2451,R,50,12,Monthly,235.3,2/5/2018,3/1/2018,TRUE,1,24
513,2018-03-26T20:03:36Z,CA,1960,980,R,18,15,BiWeekly,300,3/27/2018,4/6/2018,FALSE,0,10
1917,2018-02-03T19:13:00Z,CA,900,450,R,24,36,BiWeekly,294.12,2/3/2018,2/23/2018,FALSE,0,20
1191,2018-03-02T09:32:45Z,CA,4776,2388,R,99,36,BiWeekly,235.3,3/2/2018,3/22/2018,FALSE,0,20
142,2018-04-06T10:40:21Z,CA,5.00E+03,2500,R,24,24,BiWeekly,235.3,4/6/2018,4/19/2018,FALSE,0,13
459,2018-03-28T11:37:35Z,CA,1862,931,R,228,15,BiMonthly,300,3/28/2018,4/10/2018,FALSE,0,13
1003,2018-03-09T14:46:36Z,CA,836,836,R,39,36,Monthly,205.89,3/9/2018,4/3/2018,TRUE,1,25
1083,2018-03-06T14:49:00Z,CA,1506,753,R,67,36,BiWeekly,235.3,3/6/2018,3/16/2018,TRUE,1,10
1060,2018-03-07T13:57:47Z,CA,2200,1100,R,137,6,BiWeekly,300,3/7/2018,3/23/2018,FALSE,0,16
888,2018-03-14T12:02:07Z,CA,2400,600,R,15,36,Weekly,300,3/14/2018,3/28/2018,FALSE,0,14
1626,2018-02-14T14:05:00Z,CA,5.00E+03,2500,R,12,30,BiWeekly,117.65,2/14/2018,2/23/2018,FALSE,0,9
1158,2018-03-03T15:01:33Z,CA,1348,337,R,51,36,Weekly,205.88,3/3/2018,3/16/2018,FALSE,0,13
1650,2018-02-13T17:01:00Z,CA,1.00E+04,5.00E+03,R,60,18,BiWeekly,117.65,2/13/2018,2/21/2018,FALSE,0,8
1394,2018-02-23T11:22:35Z,CA,1.00E+04,5.00E+03,R,60,48,BiWeekly,117.65,2/28/2018,3/12/2018,FALSE,0,12
842,2018-03-15T15:30:52Z,TX,2500,2500,R,60,12,Monthly,386.54,3/15/2018,4/15/2018,FALSE,0,31
734,2018-03-19T20:26:50Z,CA,70,70,R,58,9,Monthly,117.65,3/20/2018,4/13/2018,TRUE,1,24
1327,2018-02-26T15:33:27Z,TX,1.20E+04,6.00E+03,R,60,36,BiWeekly,513.2,2/26/2018,3/9/2018,TRUE,1,11
1395,2018-02-23T11:18:44Z,CA,9.00E+03,4500,R,15,300,BiWeekly,235.3,2/23/2018,3/9/2018,FALSE,0,14
982,2018-03-10T15:45:44Z,CA,1880,470,R,120,36,Weekly,300,3/10/2018,3/22/2018,FALSE,0,12
886,2018-03-14T12:18:03Z,TX,3.00E+03,1500,R,12,6,BiWeekly,641.23,3/14/2018,3/23/2018,FALSE,0,9
1991,2018-01-31T16:10:00Z,CA,6200,3100,R,354,36,BiMonthly,300,1/31/2018,2/9/2018,FALSE,0,9
373,2018-03-30T18:01:09Z,CA,4500,2250,R,84,6,BiWeekly,117.65,3/30/2018,4/19/2018,FALSE,0,20
153,2018-04-05T18:35:53Z,CA,910,910,R,18,30,Monthly,294.12,4/6/2018,5/1/2018,FALSE,0,25
1005,2018-03-09T14:30:32Z,CA,2620,2620,R,73,36,Monthly,300,3/9/2018,4/3/2018,FALSE,0,25
2,2018-04-09T22:49:53Z,CA,2.00E+03,1.00E+03,R,12,6,BiWeekly,117.65,4/10/2018,4/27/2018,FALSE,0,17
115,2018-04-06T19:00:11Z,CA,1730,1730,R,71,30,Monthly,300,4/6/2018,5/1/2018,FALSE,0,25
620,2018-03-23T12:27:25Z,TX,3500,1750,R,120,9,BiMonthly,640.95,3/23/2018,3/30/2018,TRUE,1,7
518,2018-03-26T16:57:52Z,CA,4500,4500,O,108,6,Monthly,117.65,3/26/2018,4/5/2018,FALSE,0,10
1639,2018-02-14T09:12:00Z,TX,1.00E+04,5.00E+03,R,24,30,BiWeekly,641.23,2/14/2018,2/23/2018,FALSE,0,9
1024,2018-03-08T16:52:53Z,TX,1.00E+04,5.00E+03,R,60,30,BiMonthly,642.05,3/8/2018,3/23/2018,FALSE,0,15
1743,2018-02-12T12:08:00Z,TX,5.00E+03,2500,R,36,30,BiMonthly,641.5,2/12/2018,2/23/2018,FALSE,0,11
1708,2018-02-12T17:28:00Z,TX,8.00E+03,4.00E+03,R,12,12,BiMonthly,385.31,2/12/2018,2/28/2018,FALSE,0,16
577,2018-03-24T20:52:25Z,CA,2.00E+03,2.00E+03,R,48,6,Monthly,117.65,3/25/2018,4/11/2018,FALSE,0,17
1882,2018-02-05T13:50:00Z,CA,1880,940,R,93,3,BiWeekly,300,2/5/2018,2/23/2018,FALSE,0,18
1606,2018-02-14T17:41:00Z,CA,3600,1800,R,84,36,BiMonthly,300,2/14/2018,2/28/2018,TRUE,1,14
1609,2018-02-14T17:21:00Z,CA,1.50E+04,1.50E+04,R,76,113,Monthly,235.3,2/14/2018,3/2/2018,FALSE,0,16
1812,2018-02-08T13:38:00Z,CA,10200,5100,R,36,36,BiWeekly,235.3,2/8/2018,2/16/2018,FALSE,0,8
1966,2018-02-01T09:32:00Z,TX,1900,950,R,26,36,BiWeekly,128.41,2/1/2018,2/16/2018,FALSE,0,15
1456,2018-02-21T11:03:08Z,CA,5130,2565,R,13,36,BiWeekly,300,2/21/2018,3/2/2018,FALSE,0,9
560,2018-03-25T17:37:56Z,CA,2.00E+03,1.00E+03,R,12,18,BiWeekly,117.65,3/26/2018,4/6/2018,FALSE,0,11
1555,2018-02-15T17:05:01Z,CA,2.00E+03,1.00E+03,R,12,6,BiWeekly,117.65,2/15/2018,2/28/2018,TRUE,1,13
1509,2018-02-19T16:28:21Z,TX,1.00E+04,5.00E+03,O,60,6,BiWeekly,642.46,2/19/2018,3/9/2018,TRUE,1,18
1403,2018-02-22T18:13:54Z,CA,7.00E+03,3500,R,16,12,BiWeekly,235.3,2/22/2018,3/7/2018,FALSE,0,13
86,2018-04-07T20:50:24Z,CA,2048,1024,R,28,36,BiWeekly,300,4/8/2018,4/20/2018,FALSE,0,12
1012,2018-03-09T10:52:43Z,TX,3060,1530,R,51,30,BiWeekly,641.5,3/9/2018,3/20/2018,FALSE,0,11
1427,2018-02-22T10:57:49Z,TX,1.30E+04,6500,R,12,24,BiWeekly,642.05,2/22/2018,3/9/2018,TRUE,1,15
1481,2018-02-20T14:22:10Z,CA,1500,1500,R,12,6,Monthly,117.65,2/20/2018,2/28/2018,TRUE,1,8
8,2018-04-09T20:05:30Z,CA,1362,1362,R,41,36,Monthly,300,4/10/2018,5/4/2018,FALSE,0,24
1638,2018-02-14T10:17:00Z,TX,1.20E+04,6.00E+03,R,60,60,BiMonthly,641.23,2/14/2018,2/23/2018,FALSE,0,9
1799,2018-02-08T17:24:00Z,TX,6.00E+03,3.00E+03,R,12,24,BiWeekly,641.91,2/8/2018,2/22/2018,FALSE,0,14
731,2018-03-19T23:26:26Z,CA,1.00E+03,1.00E+03,R,48,6,Monthly,117.65,3/20/2018,4/2/2018,FALSE,0,13
1918,2018-02-03T18:42:00Z,CA,2668,1334,R,60,30,BiWeekly,300,2/3/2018,2/21/2018,FALSE,0,18
535,2018-03-26T13:27:27Z,TX,3500,1750,R,24,24,BiWeekly,256.6,3/26/2018,4/6/2018,FALSE,0,11
1228,2018-03-01T10:26:18Z,CA,6.00E+03,3.00E+03,R,12,12,BiMonthly,235.3,3/1/2018,3/23/2018,FALSE,0,22
268,2018-04-03T11:25:10Z,CA,3.00E+03,1500,R,12,6,BiWeekly,117.65,4/3/2018,4/13/2018,FALSE,0,10
241,2018-04-03T19:41:04Z,CA,2500,1250,R,42,15,BiWeekly,300,4/3/2018,4/13/2018,FALSE,0,10
374,2018-03-30T17:33:04Z,CA,3.00E+03,3.00E+03,R,60,60,Monthly,300,4/4/2018,4/16/2018,FALSE,0,12
1411,2018-02-22T14:11:25Z,CA,3500,3500,R,12,6,Monthly,235.3,2/22/2018,3/25/2018,TRUE,1,31
1655,2018-02-13T16:07:00Z,CA,2822,1411,R,28,36,BiWeekly,300,2/13/2018,2/21/2018,TRUE,1,8
84,2018-04-08T08:48:20Z,TX,5.00E+03,2500,R,120,18,BiWeekly,385.56,4/8/2018,4/27/2018,TRUE,1,19
195,2018-04-05T08:32:23Z,TX,2500,1250,R,120,30,BiWeekly,256.43,4/5/2018,4/13/2018,FALSE,0,8
